Adam,3924,2994,930,Genesis 2:19; Genesis 5:5,Adam was created by God on the sixth day.
Seth,3794,2882,912,Genesis 4:25; 1 Chronicles 1:1; Luke 3:38; Genesis 5:8,"Adam had relations with his wife again; and she gave birth to a son and named him Seth for she said ""God has appointed me another offspring in place of Abel for Cain killed him."
Enosh,3689,2784,905,Genesis 4:26; 1 Chronicles 1:1; Luke 3:38; Genesis 5:11,To Seth  to him also a son was born; and he called his name Enosh. Then men began to call upon the name of the Lord.
Kenan,3599,2689,910,Genesis 4:26; 1 Chronicles 1:2; Genesis 5:14,Kenan  Mahalalel  Jared 
Mahalalel,3529,2634,895,Genesis 5:12; Luke 3:37; Genesis 5:17,Kenan lived seventy years  and became the father of Mahalalel.
Jared,3464,2502,962,Genesis 5:15; 1 Chronicles 1:2; Luke 3:37; Genesis 5:20,Mahalalel lived sixty-five years  and became the father of Jared.
Enoch,3302,2937,365,Genesis 5:15; 1 Chronicles 1:3; Luke 3:37; Genesis 5:23,Mahalalel lived sixty-five years  and became the father of Jared.
Methuselah,3237,2268,969,Genesis 5:21; 1 Chronicles 1:2; Luke 3:37; Genesis 5:27,Enoch lived sixty-five years  and became the father of Methuselah.
Lamech,3050,2273,777,Genesis 5:25; 1 Chronicles 1:4; Luke 3:36; Genesis 5:31,Methuselah lived one hundred and eighty-seven years  and became the father of Lamech.
Noah,2868,1918,950,Genesis 5:28-29; 1 Chronicles 1:4; Luke 3:36,Lamech lived one hundred and eighty-two years  and became the father of a son. Now he called his name Noah  saying  “This one will give us rest from our work and from the toil of our hands arising from the ground which the Lord has cursed.”
Shem,2366,1766,600,Genesis 5:32; 1 Chronicles 1:4; Luke 3:36; Genesis 11:10-11,Noah was five hundred years old  and Noah became the father of Shem  Ham  and Japheth.
Arpachshad,2266,1828,438,Genesis 10:22; 1 Chronicles 1:17; Luke 3:36,The sons of Shem were Elam and Asshur and Arpachshad and Lud and Aram.
Shelah,2231,1798,433,Genesis 10:24; 1 Chronicles 1:18; Luke 3:35,Arpachshad became the father of Shelah; and Shelah became the father of Eber.
Eber,2201,1737,464,Genesis 10:24; 1 Chronicles 1:18; Luke 3:35; Genesis 11:17-18,Eber/Heber is the person who became the father of the Hebrews. Abram was the first to be called a Hebrew in Scripture (Genesis 14:13).
